3	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	--white inc,1_f,1_p
inc	1_f	1_p
409.0	0.9955	-1008720036.5
410.0	0.995	-1061356623.75
411.0	0.9945	-1114020514.88
412.0	0.994	-1166703270.73
413.0	0.9935	-1219416067.68
414.0	0.993	-1272145362.04
415.0	0.9925	-1324905290.93
416.0	0.992	-1377690664.55
417.0	0.9915	-1430490984.59
418.0	0.991	-1483322007.48
419.0	0.9905	-1536180633.38
420.0	0.99	-1589055591.2
421.0	0.9895	-1641961573.05
422.0	0.989	-1694894762.44
423.0	0.9885	-1747855007.26
424.0	0.988	-1800828527.96
425.0	0.9875	-1853833188.82
426.0	0.987	-1906866725.61
427.0	0.9865	-1959926438.34
428.0	0.986	-2012997353.06
429.0	0.9855	-2066099668.77
430.0	0.985	-2119230556.32
431.0	0.9845	-2172387909.51
432.0	0.984	-2225570943.71
433.0	0.9835	-2278778134.31
434.0	0.983	-2332009416.7
435.0	0.9825	-2385264232.74
436.0	0.982	-2438542953.28
437.0	0.9815	-2491845263.04
438.0	0.981	-2545171780.55
439.0	0.9805	-2598522163.95
440.0	0.98	-2651897072.15
441.0	0.9795	-2705296115.55
442.0	0.979	-2758719995.87
443.0	0.9785	-2812168318.64
444.0	0.978	-2865641825.19
445.0	0.9775	-2919140073.4
446.0	0.977	-2972663750.35
447.0	0.9765	-3026212382.0
448.0	0.976	-3079786537.95
449.0	0.9755	-3133385771.97
450.0	0.975	-3187010511.64
451.0	0.9745	-3240660367.03
452.0	0.974	-3294335597.52
453.0	0.9735	-3348035882.68
454.0	0.973	-3401761372.85
455.0	0.9725	-3455511861.46
456.0	0.972	-3509287478.03
457.0	0.9715	-3563088116.22
458.0	0.971	-3616913880.74
459.0	0.9705	-3670764708.6
460.0	0.97	-3724640678.21
461.0	0.9695	-3778541770.74
462.0	0.969	-3832468078.05
463.0	0.9685	-3886419625.25
464.0	0.968	-3940396486.92
465.0	0.9675	-3994398669.1
466.0	0.967	-4048426331.05
467.0	0.9665	-4102479481.17
468.0	0.966	-4156558291.53
469.0	0.9655	-4210662742.43
470.0	0.965	-4264792992.37
471.0	0.9645	-4318948998.98
472.0	0.964	-4373130892.24
473.0	0.9635	-4427338629.1
474.0	0.963	-4481572296.04
475.0	0.9625	-4535831867.72
476.0	0.962	-4590117390.91
477.0	0.9615	-4644428890.17
478.0	0.961	-4698766415.93
479.0	0.9605	-4753129953.67
480.0	0.96	-4807519580.78
481.0	0.9595	-4861935276.25
482.0	0.959	-4916377222.59
483.0	0.9585	-4970845300.06
484.0	0.958	-5025339742.4
485.0	0.9575	-5079860311.44
486.0	0.957	-5134407299.53
487.0	0.9565	-5188980393.52
488.0	0.956	-5243579879.37
489.0	0.9555	-5298205393.68
490.0	0.955	-5352857234.4
491.0	0.9545	-5407534991.35
492.0	0.954	-5462238958.8
493.0	0.9535	-5516968726.69
494.0	0.953	-5571724614.76
495.0	0.9525	-5626506258.14
496.0	0.952	-5681314004.42
497.0	0.9515	-5736147516.12
498.0	0.951	-5791007176.07
499.0	0.9505	-5845892673.64
500.0	0.95	-5900804453.36
501.0	0.9495	-5955742142.82
502.0	0.949	-6010706204.18
503.0	0.9485	-6065696193.36
504.0	0.948	-6120712583.61
505.0	0.9475	-6175754879.94
506.0	0.947	-6230823553.08
507.0	0.9465	-6285918069.21
508.0	0.946	-6341038939.61
509.0	0.9455	-6396185591.85
510.0	0.945	-6451358499.48
511.0	0.9445	-6506557113.76
512.0	0.944	-6561781854.68
513.0	0.9435	-6617032261.46
514.0	0.943	-6672308771.34
515.0	0.9425	-6727610823.25
516.0	0.942	-6782938934.09
517.0	0.9415	-6838292469.98
518.0	0.941	-6893671890.69
519.0	0.9405	-6949076675.07
520.0	0.94	-7004507163.12
521.0	0.9395	-7059962937.4
522.0	0.939	-7115444202.21
523.0	0.9385	-7170950638.29
524.0	0.938	-7226482346.61
525.0	0.9375	-7282039035.51
526.0	0.937	-7337620644.2
527.0	0.9365	-7393227041.24
528.0	0.936	-7448858000.47
529.0	0.9355	-7504513512.86
530.0	0.935	-7560193226.47
531.0	0.9345	-7615897126.58
532.0	0.934	-7671624812.01
533.0	0.9335	-7727376127.79
534.0	0.933	-7783150667.87
