5	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
filterTable v2.0.2	v2.0.2 --white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
filterTable v2.0.2	--white inc,1_f,1_p single_phase_equiaxed_tension.txt
inc	1_f	1_p
795.0	1.159	20777658217.3
796.0	1.1592	20801680172.2
797.0	1.1594	20825698143.6
798.0	1.1596	20849712169.2
799.0	1.1598	20873722213.7
800.0	1.16	20897728314.7
801.0	1.1602	20921730439.5
802.0	1.1604	20945728626.1
803.0	1.1606	20969722844.1
804.0	1.1608	20993713130.6
805.0	1.161	21017699454.9
806.0	1.1612	21041681852.0
807.0	1.1614	21065660290.7
808.0	1.1616	21089634804.6
809.0	1.1618	21113605362.5
810.0	1.162	21137571997.4
811.0	1.1622	21161534678.3
812.0	1.1624	21185493437.8
813.0	1.1626	21209448245.5
814.0	1.1628	21233399133.0
815.0	1.163	21257346070.5
816.0	1.1632	21281289089.7
817.0	1.1634	21305228161.9
818.0	1.1636	21329163318.5
819.0	1.1638	21353094532.2
820.0	1.164	21377021833.2
821.0	1.1642	21400945194.3
822.0	1.1644	21424864644.4
823.0	1.1646	21448780156.2
824.0	1.1648	21472691757.3
825.0	1.165	21496599420.3
826.0	1.1652	21520503172.0
827.0	1.1654	21544402985.6
828.0	1.1656	21568298888.0
829.0	1.1658	21592190852.9
830.0	1.166	21616078907.6
831.0	1.1662	21639963026.0
832.0	1.1664	21663843235.6
833.0	1.1666	21687719510.1
834.0	1.1668	21711591877.5
835.0	1.167	21735460311.3
836.0	1.1672	21759324839.8
837.0	1.1674	21783185436.3
838.0	1.1676	21807042128.9
839.0	1.1678	21830894891.2
840.0	1.168	21854743751.5
841.0	1.1682	21878588684.8
