2	header
postResults v2.0.2	single_phase_equiaxed_tension.spectralOut --cr f,p
inc	elem	node	ip	grain	1_pos	2_pos	3_pos	1_f	2_f	3_f	4_f	5_f	6_f	7_f	8_f	9_f	1_p	2_p	3_p	4_p	5_p	6_p	7_p	8_p	9_p
49	nan	nan	1	1	16.0	16.0	16.0	1.049	-3.92811529289e-20	-1.31383015751e-17	-1.15355299504e-19	1.0	-3.77980511778e-18	4.09222792642e-20	4.20082019724e-19	1.0	3688704641.54	1461297.19568	-3324248.847	1393085.17321	3778245606.56	1318192.46532	-3169070.13435	1318138.34166	3773133935.95
50	nan	nan	1	1	16.0	16.0	16.0	1.05	2.78567960528e-19	1.34066786705e-18	-1.79518045259e-19	1.0	-8.9092513579e-18	-9.39147780268e-20	-7.87714171167e-19	1.0	3761176717.8	1467073.17635	-3344631.76006	1397260.54452	3857667901.59	1311562.96684	-3185466.98195	1311509.52746	3852522777.46
51	nan	nan	1	1	16.0	16.0	16.0	1.051	-1.85817852804e-20	1.11362068553e-17	-1.87908965392e-19	1.0	3.29839923617e-19	-5.89746689526e-20	1.48019007533e-19	1.0	3833580030.77	1472877.53682	-3365072.43654	1401454.56535	3937162834.69	1304789.96507	-3201884.50234	1304735.26687	3931984165.23
52	nan	nan	1	1	16.0	16.0	16.0	1.052	-3.98370183006e-19	1.54135908901e-17	8.84355336493e-20	1.0	-8.98201678202e-18	1.54583512874e-20	7.89375149837e-19	1.0	3905914697.95	1478728.75748	-3385582.01511	1405685.65877	4016730326.22	1297861.92991	-3218339.36188	1297807.87776	4011518072.81
53	nan	nan	1	1	16.0	16.0	16.0	1.053	2.38757412007e-20	5.77605001623e-18	2.49610021644e-20	1.0	-4.41857383913e-18	4.76456032831e-21	-1.30242565297e-18	1.0	3978180867.31	1484612.46032	-3406133.46584	1409939.12482	4096370332.9	1290802.32196	-3234799.44731	1290747.10047	4091124407.16
54	nan	nan	1	1	16.0	16.0	16.0	1.054	5.68041470252e-20	-5.56466235633e-18	2.61521422465e-20	1.0	-1.80023618049e-18	8.39621408966e-20	2.99613089673e-18	1.0	4050378654.77	1490546.18049	-3426742.31211	1414232.51527	4176082775.71	1283597.89723	-3251285.98485	1283543.27325	4170803141.99
55	nan	nan	1	1	16.0	16.0	16.0	1.055	-3.67876996904e-19	9.41093309069e-18	-7.94887481439e-20	1.0	4.09320730827e-18	4.30716253679e-19	-5.08802103504e-19	1.0	4122508206.99	1496516.61659	-3447380.02231	1418552.06848	4255867610.54	1276274.30742	-3267765.18294	1276218.57952	4250554185.57
56	nan	nan	1	1	16.0	16.0	16.0	1.056	9.66676351054e-20	-4.29953924026e-18	-1.04105643173e-19	1.0	2.21885574489e-18	-3.03555432472e-19	-1.1275629802e-18	1.0	4194569638.12	1502540.14748	-3468067.10121	1422914.33069	4335724759.36	1268816.41843	-3284263.28287	1268761.22926	4330377511.59
57	nan	nan	1	1	16.0	16.0	16.0	1.057	-5.41518751092e-19	-6.5071717986e-18	-2.13822879623e-19	1.0	9.26045239365e-18	-1.09690766669e-19	6.59782417629e-19	1.0	4266563093.68	1508604.68661	-3488774.28806	1427306.54188	4415654176.69	1261251.96679	-3300745.62398	1261195.71991	4410273029.97
58	nan	nan	1	1	16.0	16.0	16.0	1.058	1.54477633756e-19	8.175429658e-18	1.99899775552e-19	1.0	-7.64367825558e-18	6.65979654779e-20	6.48873559711e-19	1.0	4338488685.6	1514725.20456	-3509527.02876	1431744.07749	4495655786.23	1253563.29993	-3317243.31969	1253507.52563	4490240714.08
